iter	RMSE
129	5.0026192
130	4.99707556
131	4.991831731
132	4.983594145
133	4.977945315
134	4.973017205
135	4.969120384
136	4.964232295
137	4.957999359
138	4.951880153
139	4.949535023
140	4.943373867
141	4.938397092
142	4.934729041
143	4.931983784
144	4.925224003
145	4.921228681
146	4.916576656
147	4.908323368
148	4.903077758
149	4.896304166
150	4.891318257
151	4.883890981
152	4.878011398
153	4.873359245
154	4.867002139
155	4.861965291
156	4.858428777
157	4.852680281
158	4.849260934
159	4.84071221
160	4.836647522
161	4.83200027
162	4.829071399
163	4.824420383
164	4.821284372
165	4.818547598
166	4.816450267
167	4.812566003
168	4.809764744
169	4.804530503
170	4.801253844
171	4.796853709
172	4.790955101
173	4.786573164
174	4.783015137
175	4.778603354
176	4.774416224
177	4.768029302
178	4.76298008
179	4.757375395
180	4.751619922
181	4.747628699
182	4.742566068
183	4.738452578
184	4.735298031
185	4.730172483
186	4.724535235
187	4.719611625
188	4.717287645
189	4.713279413
190	4.706015278
191	4.700391097
192	4.697360687
193	4.695063944
194	4.689624811
195	4.686079915
196	4.680746028
197	4.677354999
198	4.672556984
199	4.66856713
200	4.665751228
201	4.659343262
202	4.655474281
203	4.653814667
204	4.652113524
205	4.647078031
206	4.641870767
207	4.637782478
208	4.63487529
209	4.631694293
210	4.629448195
211	4.62457301
212	4.620044513
213	4.617865216
214	4.615186852
215	4.614782389
216	4.611255602
217	4.608289583
218	4.60642656
219	4.602896278
220	4.598497169
221	4.598321171
222	4.595073164
223	4.590501725
224	4.588906287
225	4.584371744
226	4.581215094
227	4.578876005
228	4.57663397
229	4.573282467
230	4.570645888
231	4.56595718
232	4.563911386
233	4.560461971
234	4.558111312
235	4.553601194
236	4.548857043
237	4.543491611
238	4.537128099
239	4.534631849
240	4.533752509
241	4.529869569
242	4.526498743
243	4.524168325
244	4.522434479
245	4.517789573
246	4.516968811
247	4.515954982
248	4.50941473
249	4.504857913
250	4.502378779
251	4.500880575
252	4.496550884
253	4.491238808
254	4.487373773
255	4.485263274
256	4.483602831
257	4.482300454
258	4.479596678
259	4.478953302
260	4.475176591
261	4.473827338
262	4.472880258
263	4.468831723
264	4.467122575
265	4.464020908
266	4.462665568
267	4.460441137
268	4.453695929
269	4.447754144
270	4.444685372
271	4.441364948
272	4.434373352
273	4.429264903
274	4.425855597
275	4.4222656
276	4.419639318
277	4.415149754
278	4.412375758
279	4.410973351
280	4.409118148
281	4.402529931
282	4.398596422
283	4.397400887
284	4.395011085
285	4.388660036
286	4.385886626
287	4.379564317
288	4.378826706
289	4.374981984
290	4.370198508
291	4.366800865
292	4.36357491
293	4.358335374
294	4.354894098
295	4.354064937
296	4.347822644
297	4.342454796
298	4.34188445
299	4.34108608
300	4.336112384
301	4.331629434
302	4.326904452
303	4.322779002
304	4.317808739
305	4.315047157
306	4.312610949
307	4.311578012
308	4.308296797
309	4.305714948
310	4.303244335
311	4.299652077
312	4.296793822
313	4.293024485
314	4.292567487
315	4.287943945
316	4.282349851
317	4.279515603
318	4.278627144
319	4.273999466
320	4.268646248
321	4.263881625
322	4.263110643
323	4.260190048
324	4.255789431
325	4.250346824
326	4.247077669
327	4.243482679
328	4.237846198
329	4.235289833
330	4.231666888
331	4.230731333
332	4.224069204
333	4.221071062
334	4.216109356
335	4.215233408
336	4.213248752
337	4.211320999
338	4.210490287
339	4.206020889
340	4.203514065
341	4.199565609
342	4.197517653
343	4.191747909
344	4.189352023
345	4.184102575
346	4.179895798
347	4.179178655
348	4.17395195
349	4.166991518
350	4.165794902
351	4.160068996
352	4.157611897
353	4.153527593
354	4.152009956
355	4.149783019
356	4.146688708
357	4.144378664
358	4.142859544
359	4.13753223
360	4.136903078
361	4.136086023
362	4.131976844
363	4.126679859
364	4.121360723
365	4.119273665
366	4.113778251
367	4.113054508
368	4.108612198
369	4.105387309
370	4.100056961
371	4.098321103
372	4.09688384
373	4.094211952
374	4.088054363
375	4.085035283
376	4.082059132
377	4.078823651
378	4.074092519
379	4.0686594
380	4.064533391
381	4.060816957
382	4.058825429
383	4.054605022
384	4.053573364
385	4.049233174
386	4.045805717
387	4.045266437
388	4.040975061
389	4.037229114
390	4.032630194
391	4.02852992
392	4.023787461
393	4.021085202
394	4.01747996
395	4.016867553
396	4.015476523
397	4.013949705
398	4.010027264
399	4.009114781
400	4.004348267
401	4.003061978
402	3.998944345
403	3.99498615
404	3.990374361
405	3.986995341
406	3.985776354
407	3.983055537
408	3.982798017
409	3.978033962
410	3.976184259
411	3.975644496
412	3.971744765
413	3.967783332
414	3.96652674
415	3.962568887
416	3.958778002
417	3.954749383
418	3.950754853
419	3.9469345
420	3.945042985
421	3.943730981
422	3.939531799
423	3.934493099
424	3.930867751
425	3.926516508
426	3.921555848
427	3.917849606
428	3.913296894
429	3.91006322
430	3.905430884
431	3.900676151
432	3.896646629
433	3.895018004
434	3.890184184
435	3.889690738
436	3.885333606
437	3.884836742
438	3.879655169
439	3.877072909
440	3.872002809
441	3.869317717
442	3.865106993
443	3.860740539
444	3.85563709
445	3.851645363
446	3.846515125
447	3.844570672
448	3.842072056
449	3.837351676
450	3.83454832
451	3.834009251
452	3.830716791
453	3.829608557
454	3.829260434
455	3.8278527
456	3.822983867
457	3.82093022
458	3.817709537
459	3.814543907
460	3.808837471
461	3.808600238
462	3.808046143
463	3.806294102
464	3.804094709
465	3.801728355
466	3.79803091
467	3.795860336
468	3.792057778
469	3.789635336
470	3.788565791
471	3.783969011
472	3.779821189
473	3.777428258
474	3.774740991
475	3.774305217
476	3.768794638
477	3.764967768
478	3.763361293
479	3.762955672
480	3.75874993
481	3.755147759
482	3.751823388
483	3.750210802
484	3.744868669
485	3.740879032
486	3.739595678
487	3.738445392
488	3.734697313
489	3.731337062
490	3.727582557
491	3.723121184
492	3.722902561
493	3.719930592
494	3.715397905
495	3.711089168
496	3.707908237
497	3.704356843
498	3.701669849
499	3.698964909
500	3.69520693
501	3.693743088
502	3.69352926
503	3.691204827
504	3.690079909
505	3.688945452
506	3.685179725
507	3.68104006
508	3.67691167
509	3.674487891
510	3.671499586
511	3.667391569
512	3.664664222
513	3.662428666
514	3.65784735
515	3.654840317
516	3.653660417
517	3.652142206
518	3.650418884
519	3.650067829
520	3.645365459
521	3.642806752
522	3.638866521
523	3.6368323
524	3.634623615
525	3.633089845
526	3.629570194
527	3.627534576
528	3.626497231
529	3.624802005
530	3.622244673
531	3.620587034
532	3.619467933
533	3.618110268
534	3.615032763
535	3.611070741
536	3.608960979
537	3.605733478
538	3.604715891
539	3.60065571
540	3.599014205
541	3.597099169
542	3.595977125
543	3.594105759
544	3.592998248
545	3.59259168
546	3.589142826
547	3.585349453
548	3.581623162
549	3.577518807
550	3.574361455
551	3.572890831
552	3.570960819
553	3.568896948
554	3.564213476
555	3.560517839
556	3.559100868
557	3.556346722
558	3.554103823
559	3.552190019
560	3.549476579
561	3.549141621
562	3.546792875
563	3.543656378
564	3.542809989
565	3.538533665
566	3.535011709
567	3.531286877
568	3.527829293
569	3.526081378
570	3.525497752
571	3.522808885
572	3.518956698
573	3.517457554
574	3.513529387
575	3.513340669
576	3.510270838
577	3.508222436
578	3.505554034
579	3.50080848
580	3.498227246
581	3.495734737
582	3.493129746
583	3.488487427
584	3.486606442
585	3.486089595
586	3.481791606
587	3.479528541
588	3.476844
589	3.474726217
590	3.473430243
591	3.47031091
592	3.465899002
593	3.463880197
594	3.461073299
595	3.459388928
596	3.457640433
597	3.453393932
598	3.449866337
599	3.449478382
600	3.444595686
601	3.444410917
602	3.443523324
603	3.441835898
604	3.439608506
605	3.438279561
606	3.435341994
607	3.43301929
608	3.429396735
609	3.42575853
610	3.422761488
611	3.422110496
612	3.420091957
613	3.417620637
614	3.416898385
615	3.414406278
616	3.412095556
617	3.410569877
618	3.407510376
619	3.405745089
620	3.40288106
621	3.4012159
622	3.400327443
623	3.398614061
624	3.395406534
625	3.394592867
626	3.390730328
627	3.389948471
628	3.385349103
629	3.383452154
630	3.381425815
631	3.37919101
632	3.375344499
633	3.374892572
634	3.37210209
635	3.371823674
636	3.371170758
637	3.367124277
638	3.365092701
639	3.364097104
640	3.359463999
641	3.359263276
642	3.357579891
643	3.355177248
644	3.351235667
645	3.35031204
646	3.348619037
647	3.345602498
648	3.341798054
649	3.338275506
650	3.334148109
651	3.330258216
652	3.329302367
653	3.327123903
654	3.324834494
655	3.32197659
656	3.320908227
657	3.318622744
658	3.315306968
659	3.31258155
660	3.309909366
661	3.307996409
662	3.306903468
663	3.306473158
664	3.305861618
665	3.302825936
666	3.301923426
667	3.299541845
668	3.296464252
669	3.295068464
670	3.292111569
671	3.289799295
672	3.286340278
673	3.285124604
674	3.283282433
675	3.280306155
676	3.278081248
677	3.277515009
678	3.274912398
679	3.274100085
680	3.272249209
681	3.271902713
682	3.270891975
683	3.269596354
684	3.266898849
685	3.266691942
686	3.26421013
687	3.261163054
688	3.259253573
689	3.257559733
690	3.25513752
691	3.251675096
692	3.250140218
693	3.249919155
694	3.249627864
695	3.24639929
696	3.243567547
697	3.241468793
698	3.239047317
699	3.238651061
700	3.238513727
701	3.235765952
702	3.234689737
703	3.230014612
704	3.228309847
705	3.222911856
706	3.220262176
707	3.21753529
708	3.215657482
709	3.213443854
710	3.20969445
711	3.207628796
712	3.205500375
713	3.203568413
714	3.201740043
715	3.201447926
716	3.198122672
717	3.196568875
718	3.192545791
719	3.191730521
720	3.189803542
721	3.188561681
722	3.186318919
723	3.185048802
724	3.183154668
725	3.180332065
726	3.176908538
727	3.174077532
728	3.172070661
729	3.169360659
730	3.165921767
731	3.163480629
732	3.160246049
733	3.155892896
734	3.154055423
735	3.151702368
736	3.149000052
737	3.148533458
738	3.146027686
739	3.14589332
740	3.145783973
741	3.143425142
742	3.141489474
743	3.140521548
744	3.138540395
745	3.135712995
746	3.13181549
747	3.129235547
748	3.126335094
749	3.123638488
750	3.123313467
751	3.122464106
752	3.119181299
753	3.117669499
754	3.115503265
755	3.114013633
756	3.111470087
757	3.111286533
758	3.110248131
759	3.107308794
760	3.105647544
761	3.104131452
762	3.101120957
763	3.099530403
764	3.098900794
765	3.097449427
766	3.095675767
767	3.094118022
768	3.093147554
769	3.091143455
770	3.088963341
771	3.088843352
772	3.088241162
773	3.086527003
774	3.085166176
775	3.08266517
776	3.080537199
777	3.080219412
778	3.07958961
779	3.077588582
780	3.076877342
781	3.076262401
782	3.075048642
783	3.074540461
784	3.071413449
785	3.069897641
786	3.068421482
787	3.065550149
788	3.065465431
789	3.064462711
790	3.063052963
791	3.061053422
792	3.058997076
793	3.058721595
794	3.05799993
795	3.054617256
796	3.053420313
797	3.0516788
798	3.051471254
799	3.051202435
800	3.049319819
801	3.046037213
802	3.04579835
803	3.044423916
804	3.041944146
805	3.040895897
806	3.039158494
807	3.038645588
808	3.038531708
809	3.036644004
810	3.035016255
811	3.034326438
812	3.033602695
813	3.032315506
814	3.030765366
815	3.027183855
816	3.025690468
817	3.024182983
818	3.020417304
819	3.017446162
820	3.014479436
821	3.014282797
822	3.011977435
823	3.009972931
824	3.007182682
825	3.00628831
826	3.004558375
827	3.001381861
828	2.99977571
829	2.998769788
830	2.998436209
831	2.995810868
832	2.994267286
833	2.991675472
834	2.99022497
835	2.987492747
836	2.986330378
837	2.985352191
838	2.983548233
839	2.982701541
840	2.981091498
841	2.978421836
842	2.975480272
843	2.974168786
844	2.972963296
845	2.971526481
846	2.970788801
847	2.968774001
848	2.967357488
849	2.965638536
850	2.96277696
851	2.960428416
852	2.959469279
853	2.957071191
854	2.956115159
855	2.954693236
856	2.952442583
857	2.950133541
858	2.949879435
859	2.948071421
860	2.945735132
861	2.944378956
862	2.942824772
863	2.939821286
864	2.939330565
865	2.937168451
866	2.936062413
867	2.934090508
868	2.932971877
869	2.931449435
870	2.929308182
871	2.928772908
872	2.927763867
873	2.926393752
874	2.925233101
875	2.922667065
876	2.921030176
877	2.920482596
878	2.919290621
879	2.919054551
880	2.916751348
881	2.915471702
882	2.91431944
883	2.913276371
884	2.910604344
885	2.907101937
886	2.905879768
887	2.904164812
888	2.903786933
889	2.90195684
890	2.901186033
891	2.897756327
892	2.89519798
893	2.894921646
894	2.894546314
895	2.893356671
896	2.893067852
897	2.892428704
898	2.890838235
899	2.888444758
900	2.886987026
901	2.883837442
902	2.883597543
903	2.88158578
904	2.878569867
905	2.877406721
906	2.875118519
907	2.873682772
908	2.87140079
909	2.870738932
910	2.868993704
911	2.868768872
912	2.866804743
913	2.865982569
914	2.865650965
915	2.862085667
916	2.860033428
917	2.859541302
918	2.857953796
919	2.856079567
920	2.855097994
921	2.853267141
922	2.85055762
923	2.848791154
924	2.847647649
925	2.846256841
926	2.843916857
927	2.841430705
928	2.839978414
929	2.837594927
930	2.835703773
931	2.834419251
932	2.833012317
933	2.832101059
934	2.830639268
935	2.829832617
936	2.829444998
937	2.829207042
938	2.827317202
939	2.825605089
940	2.824503018
941	2.822290216
942	2.822072682
943	2.821260138
944	2.820754417
945	2.819022753
946	2.8182576
947	2.817568426
948	2.814979698
949	2.814504873
950	2.81316033
951	2.811778225
952	2.810950912
953	2.809206727
954	2.807121911
955	2.804752525
956	2.804289485
957	2.80420889
958	2.80329626
959	2.802448006
960	2.799764962
961	2.797694267
962	2.796296259
963	2.79500379
964	2.793505069
965	2.79095457
966	2.790732441
967	2.790388143
968	2.78918642
969	2.788876319
970	2.78724204
971	2.787015299
972	2.7838306
973	2.78081667
974	2.777976262
975	2.776441286
976	2.775750829
977	2.775092404
978	2.773898012
979	2.772823693
980	2.77066393
981	2.768036286
982	2.76725851
983	2.765368532
984	2.76392844
985	2.763163373
986	2.760503509
987	2.759045467
988	2.757255511
989	2.75665642
990	2.754875377
991	2.753601135
992	2.753178814
993	2.751250947
994	2.749015678
995	2.747410069
996	2.747096634
997	2.745894887
998	2.744892521
999	2.744644876
